File,First Sentence
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_0_okzd24r__01-03-21-09-55-02_transcript.txt, ovi klinci su nemoguće niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_0_okzd25r__01-03-21-09-55-20_transcript.txt, Ivan je ušao u voz nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_0_okzd26r__01-03-21-09-55-43_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_0_okzd27r__01-03-21-09-56-08_transcript.txt, kad završiš sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_0_okzd28r__01-03-21-09-56-23_transcript.txt, malopre sam se čuo sa njim i on mi je sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_0_okzd29r__01-03-21-09-56-45_transcript.txt, kada se vratim sa posla svrati ću da tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_0_okzd30r__01-03-21-09-57-02_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk04r__01-03-21-09-57-15_transcript.txt, napisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk05r__01-03-21-09-57-27_transcript.txt, krećem za pet minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk06r__01-03-21-09-57-39_transcript.txt, doći će na mirkove ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk09r__01-03-21-09-58-18_transcript.txt, doveče je žurka kod komšije
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk10r__01-03-21-09-58-30_transcript.txt, za dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk11r__01-03-21-09-58-42_transcript.txt, od sutra smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk12r__01-03-21-09-58-54_transcript.txt, jer će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk13r__01-03-21-09-59-06_transcript.txt, moj sin ide prvi put sam na more
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk14r__01-03-21-09-59-26_transcript.txt, demonstracije su opet počele
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk15r__01-03-21-09-59-39_transcript.txt, pojavio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk16r__01-03-21-09-59-52_transcript.txt, Sanjala sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk17r__01-03-21-10-00-04_transcript.txt, šimšir je oficijalni sikandar
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk18r__01-03-21-10-00-16_transcript.txt, Opet je pisca poskupelo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk19r__01-03-21-10-00-28_transcript.txt, večeras Mehandži padavina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk20r__01-03-21-10-00-41_transcript.txt, u ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk21r__01-03-21-10-00-53_transcript.txt, karta važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk22r__01-03-21-10-01-06_transcript.txt, naša kovacu stara 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk23r__01-03-21-10-01-26_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk24r__01-03-21-10-01-39_transcript.txt, preko lete ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk25r__01-03-21-10-01-50_transcript.txt, nismo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk26r__01-03-21-10-02-05_transcript.txt, u braku smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk27r__01-03-21-10-02-16_transcript.txt, za osam minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk28r__01-03-21-10-02-29_transcript.txt, večeras mora da donese odluku o njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk29r__01-03-21-10-02-44_transcript.txt, o toj aferi novine su pisale danima
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/2/3_2_1_okzk30r__01-03-21-10-03-02_transcript.txt, dugo vremena nismo ovde bili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD01T__01-03-21-10-16-04_transcript.txt, imamo još četiri minuta vremena do polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD01T__01-03-21-10-38-54_transcript.txt, imamo još četiri minuta vremena do polaska pasa
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD02T__01-03-21-10-39-10_transcript.txt, sutra ćemo se raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD03T__01-03-21-10-16-41_transcript.txt, kompjuteri su prodali u sve oblasti i bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD03T__01-03-21-10-39-28_transcript.txt, kompjuteri su provodili u sve opusti i bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD04T__01-03-21-10-17-01_transcript.txt, otišao inostranstva prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD04T__01-03-21-10-39-47_transcript.txt, otišao je na stranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD05T__01-03-21-10-17-21_transcript.txt, telefoni zvone po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD05T__01-03-21-10-40-07_transcript.txt, telefoni zvone po ceo dan i tebe tražim
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD06T__01-03-21-10-17-42_transcript.txt, popeću se na drvo ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD06T__01-03-21-10-40-27_transcript.txt, popeću se na drvo ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD07T__01-03-21-10-17-59_transcript.txt, uvek se setim tebe kad te čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD07T__01-03-21-10-40-54_transcript.txt, uvek se setim tebe kad ti čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD08T__01-03-21-10-18-18_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD08T__01-03-21-10-41-12_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD09T__01-03-21-10-41-36_transcript.txt, znam znam Pa meni je 100 puta pričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD10T__01-03-21-10-19-07_transcript.txt, Mirjana je rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD10T__01-03-21-10-41-57_transcript.txt, Mirjana je rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD11T__01-03-21-10-42-14_transcript.txt, na more Idemo u isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD12T__01-03-21-10-42-34_transcript.txt, nastavi ćemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD13T__01-03-21-10-20-10_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD13T__01-03-21-10-42-51_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD14T__01-03-21-10-20-25_transcript.txt, naoblačilo se kao da će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD14T__01-03-21-10-43-05_transcript.txt, naoblačilo se kao da će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD15T__01-03-21-10-20-44_transcript.txt, sećam se kad je ulicom Kneza Miloša saobraća tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD15T__01-03-21-10-43-23_transcript.txt, sećam se kad je ulicom Kneza Miloša saobraćao tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD16T__01-03-21-10-21-05_transcript.txt, ne mlade najviše uticaj imaju lica sa estrade kao i sporta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD16T__01-03-21-10-43-44_transcript.txt, nema te najviše uticaj imaju lica sa estrade kao ispašta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD17T__01-03-21-10-21-33_transcript.txt, čim oplate on će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD17T__01-03-21-10-44-02_transcript.txt, čim uplatim će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD18T__01-03-21-10-22-20_transcript.txt, nazvaću te ponovo otprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD18T__01-03-21-10-44-18_transcript.txt, nazvaću te ponovo otprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD19T__01-03-21-10-22-38_transcript.txt, otvara se igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD19T__01-03-21-10-44-35_transcript.txt, otvara se igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD20T__01-03-21-10-22-57_transcript.txt, javio se i otišao na jetru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD20T__01-03-21-10-44-52_transcript.txt, javio se i otišao na jetru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD21T__01-03-21-10-23-15_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD21T__01-03-21-10-45-11_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD22T__01-03-21-10-23-33_transcript.txt, Taman sam krenula da učim a on me pozvao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD22T__01-03-21-10-45-29_transcript.txt, Taman sam krenula da učim a on mi poslao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD23T__01-03-21-10-23-49_transcript.txt, Strpi se još malo samo što nismo stigli
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD23T__01-03-21-10-45-47_transcript.txt, Strpi se još malo samo što ispasti kod
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD24T__01-03-21-10-24-06_transcript.txt, ovi klinci su nema kući niko ih ne može postati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD24T__01-03-21-10-46-05_transcript.txt, ovi klinci su nema kući niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD25T__01-03-21-10-24-24_transcript.txt, Milan je ušao u voz nekoliko minuta pre da
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD25T__01-03-21-10-46-32_transcript.txt, Milenijum ušao u boga nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD26T__01-03-21-10-24-43_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD26T__01-03-21-10-46-52_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD27T__01-03-21-10-25-01_transcript.txt, Kada završiš sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD27T__01-03-21-10-47-14_transcript.txt, Kada završiš sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD28T__01-03-21-10-25-22_transcript.txt, malopre sam se čuo sa njim i on mi je sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD28T__01-03-21-10-47-33_transcript.txt, malopre sam se čuo sa njim i on mi sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD29T__01-03-21-10-25-40_transcript.txt, kada se vratim sa posla svratiću do tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD29T__01-03-21-10-47-53_transcript.txt, kada se vratim sa posla svrati ću te tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD30T__01-03-21-10-25-57_transcript.txt, Upravo su mi javili ne treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_0_SKMD30T__01-03-21-10-48-11_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK01T__01-03-21-10-26-12_transcript.txt, Vratiću se brzo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK01T__01-03-21-10-48-29_transcript.txt, Vratiću se brzo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK02T__01-03-21-10-26-23_transcript.txt, ne idem danas u školu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK02T__01-03-21-10-48-50_transcript.txt, ne idem danas u školu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK03T__01-03-21-10-26-35_transcript.txt, prespava ću ceo dan
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK03T__01-03-21-10-49-03_transcript.txt, prespava ću ceo dan
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK04T__01-03-21-10-26-47_transcript.txt, napisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK04T__01-03-21-10-49-17_transcript.txt, napisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK05T__01-03-21-10-26-58_transcript.txt, Krećemo za 5 minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK05T__01-03-21-10-49-34_transcript.txt, krećem za pet minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK06T__01-03-21-10-27-12_transcript.txt, doći će na Mirko na ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK06T__01-03-21-10-49-50_transcript.txt, doći će nam Mirko na ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK07T__01-03-21-10-27-32_transcript.txt, još malo pa će izbori
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK07T__01-03-21-10-50-06_transcript.txt, još malo pa će izborim
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK08T__01-03-21-10-27-51_transcript.txt, sutra će biti 27 hladu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK08T__01-03-21-10-50-21_transcript.txt, sutra će biti 27 u hladu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK09T__01-03-21-10-28-08_transcript.txt, navečer žurka koje komšije
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK09T__01-03-21-10-50-38_transcript.txt, da veče žurka kod komšije
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK10T__01-03-21-10-28-21_transcript.txt, za dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK10T__01-03-21-10-50-53_transcript.txt, za dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK11T__01-03-21-10-28-35_transcript.txt, od sutra smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK11T__01-03-21-10-51-07_transcript.txt, Hoćeš sutra smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK12T__01-03-21-10-28-48_transcript.txt, Petar će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK12T__01-03-21-10-51-21_transcript.txt, Petar će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK13T__01-03-21-10-29-01_transcript.txt, moj sin ide prvi put sam na more
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK13T__01-03-21-10-51-37_transcript.txt, sine idem prvi put sam na more
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK14T__01-03-21-10-29-17_transcript.txt, demonstracije su opet počele
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK14T__01-03-21-10-51-54_transcript.txt, demonstracije su opet počele
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK15T__01-03-21-10-29-34_transcript.txt, pojavio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK15T__01-03-21-10-52-08_transcript.txt, pojavio se u posle trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK16T__01-03-21-10-29-47_transcript.txt, Sanjala sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK16T__01-03-21-10-52-24_transcript.txt, Sanjala sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK17T__01-03-21-10-30-02_transcript.txt, Premier ja bet365
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK17T__01-03-21-10-52-38_transcript.txt, Premijeri obećao viši standard
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK18T__01-03-21-10-30-17_transcript.txt, Opet je pijaca poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK18T__01-03-21-10-52-56_transcript.txt, opet i pijaca poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK19T__01-03-21-10-30-31_transcript.txt, večeras najavljuje padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK19T__01-03-21-10-53-15_transcript.txt, večeras najavljuju padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK20T__01-03-21-10-30-46_transcript.txt, u ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK20T__01-03-21-10-53-28_transcript.txt, u ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK21T__01-03-21-10-31-02_transcript.txt, moja karta važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK21T__01-03-21-10-53-44_transcript.txt, moja karta važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK22T__01-03-21-10-31-17_transcript.txt, naša kola su stara 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK22T__01-03-21-10-54-00_transcript.txt, naša kola su stara 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK23T__01-03-21-10-31-33_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK23T__01-03-21-10-54-14_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK24T__01-03-21-10-31-49_transcript.txt, preko leta ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK24T__01-03-21-10-54-29_transcript.txt, preko leta ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK25T__01-03-21-10-32-21_transcript.txt, nismo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK25T__01-03-21-10-54-46_transcript.txt, nismo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK26T__01-03-21-10-32-36_transcript.txt, u braku smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK26T__01-03-21-10-55-04_transcript.txt, u braku smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK27T__01-03-21-10-32-50_transcript.txt, ja sam minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK27T__01-03-21-10-55-20_transcript.txt, za osam minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK28T__01-03-21-10-33-05_transcript.txt, večeras mora da donese odluku o njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK28T__01-03-21-10-55-38_transcript.txt, večeras mora da donese odluku o njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK29T__01-03-21-10-33-21_transcript.txt, to je fer i novine su pisali danima
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK29T__01-03-21-10-55-59_transcript.txt, a to je fer i novine su pisale danima
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK30T__01-03-21-10-33-36_transcript.txt, dugo vremena nismo debili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/0006/4/4_4_1_SKMK30T__01-03-21-10-56-18_transcript.txt, dugo vremena nismo debili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD01L__07-03-21-09-47-00_transcript.txt, imamo još četiri minuta vremena do polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD02L__07-03-21-09-47-25_transcript.txt, sutra ćemo sve raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD03L__07-03-21-09-47-39_transcript.txt, kompjuteri su prodali u sve oblasti bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD04L__07-03-21-09-47-57_transcript.txt, otišao u inostranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD05L__07-03-21-09-48-25_transcript.txt, telefoni zvone po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD06L__07-03-21-09-48-57_transcript.txt, pa biću se na drva ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD07L__07-03-21-09-49-10_transcript.txt, uvek se setim tebe kad čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD08L__07-03-21-09-49-22_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD09L__07-03-21-09-49-35_transcript.txt, znam znam Pa meni je 100 puta pričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD10L__07-03-21-09-49-48_transcript.txt, Mirjana je rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD11L__07-03-21-09-50-00_transcript.txt, na more Idemo u isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD12L__07-03-21-09-50-14_transcript.txt, ne slavi ćemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD13L__07-03-21-09-50-26_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD14L__07-03-21-09-50-38_transcript.txt, naoblačilo se kao da će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD15L__07-03-21-09-50-52_transcript.txt, sećam se kad je ulicom Kneza Miloša saobraćao tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD16L__07-03-21-09-51-16_transcript.txt, na mlade najviše uticaj imaju lica sa estrade kao i sporta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD17L__07-03-21-09-51-33_transcript.txt, čim uplate on će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD18L__07-03-21-09-51-45_transcript.txt, nazvat ću te ponovo otprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD19L__07-03-21-09-51-57_transcript.txt, otvara se igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD20L__07-03-21-09-52-10_transcript.txt, javio se i otišao je na aerodrom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD21L__07-03-21-09-52-23_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD22L__07-03-21-09-52-37_transcript.txt, Taman sam krenula da učim a on me pozvao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1003/0/1_0_0_MMMD23L__07-03-21-09-52-52_transcript.txt, Strpi se još malo samo što nismo stigli
